DATE,SCPCPI
1929-01-01,267
1930-01-01,239
1931-01-01,203
1932-01-01,156
1933-01-01,172
1934-01-01,207
1935-01-01,228
1936-01-01,256
1937-01-01,271
1938-01-01,248
1939-01-01,275
1940-01-01,314
1941-01-01,415
1942-01-01,580
1943-01-01,675
1944-01-01,753
1945-01-01,772
1946-01-01,791
1947-01-01,803
1948-01-01,926
1949-01-01,885
1950-01-01,943.0
1951-01-01,1158.0
1952-01-01,1238.0
1953-01-01,1274.0
1954-01-01,1210.0
1955-01-01,1272.0
1956-01-01,1306.0
1957-01-01,1337.0
1958-01-01,1368.0
1959-01-01,1448.0
1960-01-01,1493.0
1961-01-01,1556.0
1962-01-01,1658.0
1963-01-01,1728.0
1964-01-01,1845.0
1965-01-01,2024.0
1966-01-01,2251.0
1967-01-01,2416.0
1968-01-01,2656.0
1969-01-01,2959.0
1970-01-01,3225.0
1971-01-01,3449.0
1972-01-01,3792.0
1973-01-01,4213.0
1974-01-01,4655.0
1975-01-01,4963.0
1976-01-01,5472.0
1977-01-01,5886.0
1978-01-01,6537.0
1979-01-01,7219.0
1980-01-01,7965.0
1981-01-01,8845.0
1982-01-01,9320.0
1983-01-01,10033.0
1984-01-01,11059.0
1985-01-01,11719.0
1986-01-01,12377.0
1987-01-01,13126.0
1988-01-01,14137.0
1989-01-01,15190.0
1990-01-01,16109.0
1991-01-01,16495.0
1992-01-01,17316.0
1993-01-01,17991.0
1994-01-01,18867.0
1995-01-01,19765.0
1996-01-01,20755.0
1997-01-01,21728.0
1998-01-01,22912
1999-01-01,23752
2000-01-01,25138
2001-01-01,25745
2002-01-01,26176
2003-01-01,26785
2004-01-01,27905
2005-01-01,29153
2006-01-01,30882
2007-01-01,32249
2008-01-01,32951
2009-01-01,31724
2010-01-01,32454
2011-01-01,34047
2012-01-01,35503
2013-01-01,35665
2014-01-01,37537
2015-01-01,39424
2016-01-01,40312
2017-01-01,41633
